Mon, 2022.09.05 8:00, 8:00, CHF, low, GDP q/q, 0.5%, 0.4%, 
Mon, 2022.09.05 8:15, 8:15, EUR, low, Spanish Services PMI, 53.8, 52.3, 
Mon, 2022.09.05 8:45, 8:45, EUR, low, Italian Services PMI, 48.4, 48.9, 
Mon, 2022.09.05 8:50, 8:50, EUR, low, French Final Services PMI, 51.0, 51.0, 
Mon, 2022.09.05 8:55, 8:55, EUR, low, German Final Services PMI, 48.2, 48.2, 
Mon, 2022.09.05 9:00, 9:00, EUR, low, Final Services PMI, 50.2, 50.2, 
Mon, 2022.09.05 9:30, 9:30, EUR, low, Sentix Investor Confidence, -25.2, -26.8, 
Mon, 2022.09.05 9:30, 9:30, GBP, low, Final Services PMI, 52.5, 52.5, 
Mon, 2022.09.05 10:00, 10:00, EUR, low, Retail Sales m/m, -1.2%, 0.3%, 
Mon, 2022.09.05 5:00, 5:00, All, medium, OPEC-JMMC Meetings, , , 
Mon, 2022.09.05 5:00, 5:00, CAD, holiday, Bank Holiday, , , 
Mon, 2022.09.05 5:00, 5:00, USD, holiday, Bank Holiday, , , 
Mon, 2022.09.05 16:30, 16:30, GBP, medium, MPC Member Mann Speaks, , , 
Tue, 2022.09.06 0:01, 0:01, GBP, low, BRC Retail Sales Monitor y/y, 1.6%, , 
Tue, 2022.09.06 0:30, 0:30, JPY, low, Average Cash Earnings y/y, 2.0%, 1.9%, 
Tue, 2022.09.06 0:30, 0:30, JPY, low, Household Spending y/y, 3.5%, 4.5%, 
Tue, 2022.09.06 2:30, 2:30, AUD, low, Current Account, 7.5B, 22.0B, 
Tue, 2022.09.06 4:35, 4:35, JPY, low, 30-y Bond Auction, 1.12|3.0, , 
Tue, 2022.09.06 17:30, 17:30, AUD, high, Cash Rate, 1.85%, 2.35%, 
Tue, 2022.09.06 17:30, 17:30, AUD, high, RBA Rate Statement, , , 
Tue, 2022.09.06 7:00, 7:00, EUR, low, German Factory Orders m/m, -0.4%, -0.8%, 
Tue, 2022.09.06 9:30, 9:30, GBP, low, Construction PMI, 48.9, 48.0, 
Tue, 2022.09.06 14:45, 14:45, USD, medium, Final Services PMI, 44.1, 44.3, 
Tue, 2022.09.06 15:00, 15:00, USD, high, ISM Services PMI, 56.7, 55.0, 
Tue, 2022.09.06 15:00, 15:00, NZD, low, GDT Price Index, -2.9%, , 
Tue, 2022.09.06 23:30, 23:30, AUD, low, AIG Services Index, 51.7, , 
Wed, 2022.09.07 2:30, 2:30, AUD, high, GDP q/q, 0.8%, 1.1%, 
Wed, 2022.09.07 2:30, 2:30, CNY, low, Trade Balance, 683B, 650B, 
Wed, 2022.09.07 2:30, 2:30, CNY, low, USD-Denominated Trade Balance, 101.3B, 91.8B, 
Wed, 2022.09.07 6:00, 6:00, JPY, low, Leading Indicators, 100.9%, 100.2%, 
Wed, 2022.09.07 7:00, 7:00, EUR, low, German Industrial Production m/m, 0.4%, -0.5%, 
Wed, 2022.09.07 7:00, 7:00, GBP, low, Halifax HPI m/m, -0.1%, 0.1%, 
Wed, 2022.09.07 8:00, 8:00, CHF, low, Foreign Currency Reserves, 849B, , 
Wed, 2022.09.07 9:00, 9:00, EUR, low, Italian Retail Sales m/m, -1.1%, 0.3%, 
