Thu, 2013.02.21 7:00, 7:00, CHF, medium, Trade Balance, 0.90B, 1.74B, 2.13B
Thu, 2013.02.21 8:00, 8:00, EUR, high, French Flash Manufacturing PMI, 42.9, 43.9, 43.6
Thu, 2013.02.21 8:00, 8:00, EUR, medium, French Flash Services PMI, 43.6, 44.5, 42.7
Thu, 2013.02.21 8:30, 8:30, EUR, high, German Flash Manufacturing PMI, 49.8, 50.4, 50.1
Thu, 2013.02.21 8:30, 8:30, EUR, medium, German Flash Services PMI, 55.7, 55.5, 54.1
Thu, 2013.02.21 9:00, 9:00, EUR, medium, Flash Manufacturing PMI, 47.9, 48.4, 47.8
Thu, 2013.02.21 9:00, 9:00, EUR, medium, Flash Services PMI, 48.6, 49.2, 47.3
Thu, 2013.02.21 9:30, 9:30, GBP, medium, Public Sector Net Borrowing, 12.4B, -9.0B, -9.9B
Thu, 2013.02.21 9:43, 9:43, EUR, high, Spanish 10-y Bond Auction, 5.29|2.3, , 5.20|1.6
Thu, 2013.02.21 10:38, 10:38, GBP, medium, 10-y Bond Auction, 1.90|2.9, , 2.15|2.3
Thu, 2013.02.21 11:00, 11:00, GBP, medium, CBI Industrial Order Expectations, -20, -16, -14
Thu, 2013.02.21 13:30, 13:30, USD, high, CPI y/y, 1.7%, 1.7%, 1.6%
Thu, 2013.02.21 13:30, 13:30, USD, high, Core CPI m/m, 0.1%, 0.2%, 0.3%
Thu, 2013.02.21 13:30, 13:30, USD, high, Unemployment Claims, 342K, 353K, 362K
Thu, 2013.02.21 13:30, 13:30, USD, medium, CPI m/m, 0.0%, 0.1%, 0.0%
Thu, 2013.02.21 14:00, 14:00, USD, medium, Flash Manufacturing PMI, 55.8, 55.6, 55.2
Thu, 2013.02.21 15:00, 15:00, USD, high, Existing Home Sales, 4.90M, 4.89M, 4.92M
Thu, 2013.02.21 15:00, 15:00, USD, high, Philly Fed Manufacturing Index, -5.8, 1.1, -12.5
Thu, 2013.02.21 15:00, 15:00, USD, medium, Mortgage Delinquencies, 7.40%, , 7.09%
Thu, 2013.02.21 15:00, 15:00, USD, low, CB Leading Index m/m, 0.5%, 0.2%, 0.2%
Thu, 2013.02.21 15:30, 15:30, CAD, low, BOC Review, , , 
Thu, 2013.02.21 15:30, 15:30, USD, low, Natural Gas Storage, -157B, -119B, -127B
Thu, 2013.02.21 16:00, 16:00, USD, medium, Crude Oil Inventories, 0.6M, 1.9M, 4.1M
Fri, 2013.02.22 5:30, 5:30, USD, medium, FOMC Member Bullard Speaks, , , 
Thu, 2013.02.21 22:30, 22:30, AUD, high, RBA Gov Stevens Speaks, , , 
Fri, 2013.02.22 2:02, 2:02, NZD, low, Credit Card Spending y/y, 4.5%, , 0.4%
Fri, 2013.02.22 7:00, 7:00, EUR, low, German Final GDP q/q, -0.6%, -0.6%, -0.6%
Fri, 2013.02.22 9:00, 9:00, EUR, high, German ifo Business Climate, 104.3, 104.9, 107.4
Fri, 2013.02.22 10:00, 10:00, EUR, medium, EU Economic Forecasts, , , 
Fri, 2013.02.22 11:00, 11:00, EUR, low, Italian Retail Sales m/m, -0.4%, 0.3%, 0.2%
Fri, 2013.02.22 13:30, 13:30, CAD, high, Core CPI m/m, -0.6%, 0.2%, 0.1%
Fri, 2013.02.22 13:30, 13:30, CAD, high, Core Retail Sales m/m, -0.2%, 0.1%, -0.9%
Fri, 2013.02.22 13:30, 13:30, CAD, medium, CPI m/m, -0.6%, 0.3%, 0.1%
Fri, 2013.02.22 13:30, 13:30, CAD, medium, Retail Sales m/m, 0.3%, -0.3%, -2.1%
Fri, 2013.02.22 14:00, 14:00, EUR, low, Belgian NBB Business Climate, -13.2, -11.1, -11.0
Fri, 2013.02.22 15:30, 15:30, USD, medium, FOMC Member Powell Speaks, , , 
Fri, 2013.02.22 23:30, 23:30, USD, low, FOMC Member Tarullo Speaks, , , 
Mon, 2013.02.25 5:00, 5:00, EUR, high, Italian Parliamentary Election, , , 
Mon, 2013.02.25 9:30, 9:30, GBP, medium, High Street Lending, 33.4K, 34.2K, 32.3K
Mon, 2013.02.25 15:30, 15:30, EUR, medium, German Buba President Weidmann Speaks, , , 
Mon, 2013.02.25 15:30, 15:30, GBP, low, Chancellor Osborne Speaks, , , 
Tue, 2013.02.26 5:15, 5:15, CAD, medium, BOC Gov Carney Speaks, , , 
Mon, 2013.02.25 21:15, 21:15, AUD, medium, RBA Deputy Gov Debelle Speaks, , , 
Tue, 2013.02.26 2:00, 2:00, NZD, medium, Inflation Expectations q/q, 2.27%, , 2.17%
Tue, 2013.02.26 6:00, 6:00, GBP, high, BOE Gov King Speaks, , , 
Tue, 2013.02.26 8:15, 8:15, CHF, medium, Employment Level, 4.12M, 4.11M, 4.12M
Tue, 2013.02.26 10:00, 10:00, GBP, high, Monetary Policy Report Hearings, , , 
Tue, 2013.02.26 11:00, 11:00, GBP, medium, CBI Realized Sales, 17, 15, 8
Tue, 2013.02.26 13:30, 13:30, CAD, low, Corporate Profits q/q, 3.7%, , 1.4%
Tue, 2013.02.26 14:00, 14:00, USD, medium, S&P/CS Composite-20 HPI y/y, 5.4%, 6.7%, 6.8%
Tue, 2013.02.26 14:00, 14:00, USD, low, HPI m/m, 0.4%, 0.6%, 0.6%
Tue, 2013.02.26 14:59, 14:59, USD, low, Richmond Manufacturing Index, -12, -4, 6
Tue, 2013.02.26 15:00, 15:00, USD, high, CB Consumer Confidence, 58.4, 60.8, 69.6
Tue, 2013.02.26 15:00, 15:00, USD, high, Fed Chairman Bernanke Testifies, , , 
Tue, 2013.02.26 15:00, 15:00, USD, high, New Home Sales, 378K, 381K, 437K
Tue, 2013.02.26 15:00, 15:00, USD, low, Fed Monetary Policy Report, , , 
Tue, 2013.02.26 18:30, 18:30, GBP, medium, MPC Member Fisher Speaks, , , 
Tue, 2013.02.26 21:45, 21:45, NZD, medium, Trade Balance, 534M, 113M, -305M
Tue, 2013.02.26 21:45, 21:45, NZD, low, Visitor Arrivals m/m, 1.7%, , -2.5%
Tue, 2013.02.26 23:50, 23:50, JPY, medium, Retail Sales y/y, 0.3%, -1.4%, -1.1%
Wed, 2013.02.27 0:30, 0:30, AUD, medium, Construction Work Done q/q, 1.9%, 1.5%, -0.1%
Wed, 2013.02.27 7:00, 7:00, CHF, low, UBS Consumption Indicator, 1.32, , 1.18
Wed, 2013.02.27 7:00, 7:00, EUR, medium, German GfK Consumer Climate, 5.8, 5.9, 5.9
Wed, 2013.02.27 7:00, 7:00, EUR, low, German Import Prices m/m, -0.5%, 0.5%, 0.1%
Wed, 2013.02.27 8:00, 8:00, CHF, medium, KOF Economic Barometer, 1.12, 1.00, 1.03
Wed, 2013.02.27 9:00, 9:00, EUR, medium, M3 Money Supply y/y, 3.4%, 3.2%, 3.5%
Wed, 2013.02.27 9:00, 9:00, EUR, low, Private Loans y/y, -0.7%, -0.6%, -0.9%
Wed, 2013.02.27 9:10, 9:10, EUR, low, Retail PMI, 45.9, , 44.5
Wed, 2013.02.27 9:20, 9:20, GBP, medium, MPC Member Bean Speaks, , , 
Wed, 2013.02.27 9:30, 9:30, GBP, high, Second Estimate GDP q/q, -0.3%, -0.3%, -0.3%
Wed, 2013.02.27 9:30, 9:30, GBP, medium, Prelim Business Investment q/q, 0.5%, 2.2%, -1.2%
Wed, 2013.02.27 9:30, 9:30, GBP, low, Index of Services 3m/3m, 0.6%, 0.1%, -0.1%
Wed, 2013.02.27 10:12, 10:12, EUR, high, Italian 10-y Bond Auction, 4.17|1.3, , 4.83|1.7
Wed, 2013.02.27 13:30, 13:30, USD, high, Core Durable Goods Orders m/m, 1.0%, 0.3%, 1.9%
Wed, 2013.02.27 13:30, 13:30, USD, medium, Durable Goods Orders m/m, 4.3%, -4.8%, -5.2%
Wed, 2013.02.27 15:00, 15:00, USD, high, Fed Chairman Bernanke Testifies, , , 
Wed, 2013.02.27 15:00, 15:00, USD, high, Pending Home Sales m/m, -1.9%, 1.7%, 4.5%
Wed, 2013.02.27 15:30, 15:30, USD, medium, Crude Oil Inventories, 4.1M, 2.4M, 1.1M
Thu, 2013.02.28 5:30, 5:30, EUR, high, ECB President Draghi Speaks, , , 
Wed, 2013.02.27 21:45, 21:45, NZD, low, Building Consents m/m, 9.4%, , -0.4%
Wed, 2013.02.27 23:15, 23:15, JPY, low, Final Manufacturing PMI, 47.7, , 48.5
