2022.09.05 8:00, CHF, low
2022.09.05 8:15, EUR, low
2022.09.05 8:45, EUR, low
2022.09.05 8:50, EUR, low
2022.09.05 8:55, EUR, low
2022.09.05 9:00, EUR, low
2022.09.05 9:30, EUR, low
2022.09.05 9:30, GBP, low
2022.09.05 10:00, EUR, low
2022.09.05 5:00, All, medium
2022.09.05 5:00, CAD, holiday
2022.09.05 5:00, USD, holiday
2022.09.05 16:30, GBP, medium
2022.09.06 0:01, GBP, low
2022.09.06 0:30, JPY, low
2022.09.06 0:30, JPY, low
2022.09.06 2:30, AUD, low
2022.09.06 4:35, JPY, low
2022.09.06 17:30, AUD, high
2022.09.06 17:30, AUD, high
2022.09.06 7:00, EUR, low
2022.09.06 9:30, GBP, low
2022.09.06 14:45, USD, medium
2022.09.06 15:00, USD, high
2022.09.06 15:00, NZD, low
2022.09.06 23:30, AUD, low
2022.09.07 2:30, AUD, high
2022.09.07 2:30, CNY, low
2022.09.07 2:30, CNY, low
2022.09.07 6:00, JPY, low
2022.09.07 7:00, EUR, low
2022.09.07 7:00, GBP, low
2022.09.07 8:00, CHF, low
2022.09.07 9:00, EUR, low
2022.09.07 10:00, EUR, low
2022.09.07 10:00, EUR, low
2022.09.07 10:00, GBP, high
2022.09.07 10:00, GBP, low
2022.09.07 13:30, CAD, low
2022.09.07 13:30, USD, low
2022.09.07 15:00, CAD, high
2022.09.07 15:00, CAD, high
2022.09.07 15:00, CAD, medium
2022.09.07 15:00, USD, medium
2022.09.08 5:35, USD, medium
2022.09.07 19:00, USD, low
2022.09.07 19:00, USD, low
2022.09.07 23:45, NZD, low
2022.09.08 0:01, GBP, low
2022.09.08 0:50, JPY, low
2022.09.08 0:50, JPY, low
2022.09.08 0:50, JPY, low
2022.09.08 0:50, JPY, low
2022.09.08 2:30, AUD, low
2022.09.08 4:05, AUD, high
2022.09.08 6:00, JPY, low
2022.09.08 6:30, EUR, low
2022.09.08 6:45, CHF, low
2022.09.08 7:45, EUR, low
2022.09.08 7:45, CNY, low
2022.09.08 7:45, CNY, low
2022.09.08 13:15, EUR, high
2022.09.08 13:15, EUR, high
2022.09.08 13:30, USD, medium
2022.09.08 13:45, EUR, high
2022.09.08 14:10, USD, high
2022.09.08 15:30, USD, low
2022.09.08 16:00, USD, low
2022.09.08 16:25, CAD, low
2022.09.08 20:00, USD, low
2022.09.09 0:50, JPY, low
2022.09.09 2:30, CNY, low
2022.09.09 2:30, CNY, low
2022.09.09 7:45, EUR, low
2022.09.09 9:30, GBP, low
2022.09.09 5:00, EUR, medium
2022.09.09 5:00, EUR, low
2022.09.09 13:30, CAD, high
2022.09.09 13:30, CAD, high
2022.09.09 13:30, CAD, low
2022.09.09 15:00, USD, low
2022.09.10 5:00, USD, medium
2022.09.10 5:00, USD, medium
2022.09.12 7:00, EUR, low
2022.09.12 7:00, GBP, medium
2022.09.12 7:00, GBP, low
2022.09.12 7:00, GBP, low
2022.09.12 7:00, GBP, low
2022.09.12 7:00, GBP, low
2022.09.12 7:00, GBP, low
2022.09.12 7:00, JPY, low
2022.09.12 7:00, CNY, low
2022.09.12 9:00, EUR, low
2022.09.12 9:00, EUR, low
2022.09.12 9:00, GBP, low
2022.09.12 18:01, USD, low
2022.09.12 23:45, NZD, low
2022.09.13 0:50, JPY, low
2022.09.13 0:50, JPY, low
2022.09.13 2:30, AUD, medium
2022.09.13 7:00, EUR, low
2022.09.13 7:00, GBP, low
2022.09.13 7:00, GBP, low
2022.09.13 7:00, GBP, low
2022.09.13 7:45, EUR, low
2022.09.13 11:00, USD, low
2022.09.13 11:00, EUR, low
2022.09.13 5:00, EUR, low
2022.09.13 5:00, EUR, low
2022.09.13 13:30, USD, high
2022.09.13 13:30, USD, high
2022.09.13 13:30, USD, low
2022.09.13 18:01, USD, low
2022.09.13 19:00, USD, low
2022.09.13 23:45, NZD, low
2022.09.14 1:30, AUD, low
2022.09.14 17:30, JPY, low
2022.09.14 7:00, GBP, high
2022.09.14 7:00, GBP, low
2022.09.14 7:00, GBP, low
2022.09.14 7:00, GBP, low
2022.09.14 7:00, GBP, low
2022.09.14 7:30, CHF, low
2022.09.14 9:00, EUR, low
2022.09.14 9:30, GBP, low
2022.09.14 10:00, EUR, low
2022.09.14 13:30, CAD, low
2022.09.14 13:30, USD, high
2022.09.14 13:30, USD, medium
2022.09.14 15:30, USD, low
2022.09.14 23:45, NZD, medium
2022.09.15 0:50, JPY, low
2022.09.15 2:00, AUD, low
2022.09.15 2:30, AUD, high
2022.09.15 2:30, AUD, high
2022.09.15 2:30, AUD, low
2022.09.15 17:30, JPY, low
2022.09.15 10:00, EUR, low
2022.09.15 10:00, EUR, low
2022.09.15 10:00, EUR, low
2022.09.15 12:00, GBP, high
2022.09.15 12:00, GBP, high
2022.09.15 12:00, GBP, high
2022.09.15 13:30, USD, high
2022.09.15 13:30, USD, high
2022.09.15 13:30, USD, high
2022.09.15 13:30, USD, medium
2022.09.15 13:30, USD, medium
2022.09.15 13:30, USD, low
2022.09.15 14:15, USD, low
2022.09.15 14:15, USD, low
2022.09.15 15:00, USD, low
2022.09.15 15:30, USD, low
2022.09.15 23:30, NZD, low
2022.09.16 3:00, CNY, medium
2022.09.16 3:00, CNY, low
2022.09.16 3:00, CNY, low
2022.09.16 3:00, CNY, low
2022.09.16 3:00, CNY, low
2022.09.16 10:00, EUR, low
2022.09.16 10:00, EUR, low
2022.09.16 13:15, CAD, low
2022.09.16 13:30, CAD, low
2022.09.16 13:30, CAD, low
2022.09.16 15:00, USD, high
2022.09.16 15:00, USD, low
2022.09.16 21:00, USD, low
2022.09.19 7:00, GBP, medium
2022.09.19 13:30, CAD, low
2022.09.19 13:30, CAD, low
2022.09.19 15:00, USD, low
2022.09.19 22:00, NZD, low
2022.09.20 0:30, JPY, low
2022.09.20 1:30, JPY, low
2022.09.20 2:30, AUD, high
2022.09.20 7:00, CHF, low
2022.09.20 7:00, EUR, low
2022.09.20 8:15, EUR, high
2022.09.20 8:15, EUR, low
2022.09.20 8:30, EUR, high
2022.09.20 8:30, EUR, high
2022.09.20 9:00, EUR, low
2022.09.20 9:00, EUR, low
2022.09.20 9:00, EUR, low
2022.09.20 9:30, GBP, high
2022.09.20 9:30, GBP, high
2022.09.20 11:00, GBP, low
2022.09.20 11:00, GBP, low
2022.09.20 13:30, CAD, high
2022.09.20 13:30, CAD, medium
2022.09.20 13:30, CAD, medium
2022.09.20 13:30, CAD, medium
2022.09.20 13:30, CAD, low
2022.09.20 13:30, CAD, low
2022.09.20 13:30, USD, low
2022.09.20 13:30, USD, low
2022.09.20 13:30, NZD, low
2022.09.21 1:30, AUD, low
2022.09.21 4:00, NZD, low
2022.09.21 7:00, GBP, low
2022.09.21 9:00, CHF, low
2022.09.21 9:00, EUR, medium
2022.09.21 9:00, EUR, low
2022.09.21 15:00, USD, medium
2022.09.21 15:30, AUD, low
2022.09.21 15:30, USD, low
2022.09.21 19:00, USD, high
2022.09.21 19:00, USD, high
2022.09.21 19:00, USD, high
2022.09.21 19:30, USD, high
2022.09.21 22:45, NZD, low
2022.09.21 22:45, JPY, high
2022.09.21 22:45, JPY, low
2022.09.22 7:00, CHF, low
2022.09.22 7:00, JPY, high
2022.09.22 8:00, CHF, low
2022.09.22 8:30, CHF, high
2022.09.22 8:30, CHF, high
2022.09.22 9:00, EUR, low
2022.09.22 9:30, CHF, high
2022.09.22 11:00, GBP, low
2022.09.22 13:30, USD, medium
2022.09.22 13:30, USD, low
2022.09.22 15:00, EUR, low
2022.09.22 15:00, USD, low
2022.09.22 15:30, USD, low
2022.09.23 0:00, AUD, low
2022.09.23 0:00, AUD, low
2022.09.23 0:01, GBP, low
2022.09.23 0:50, JPY, low
2022.09.22 5:00, JPY, holiday
2022.09.23 13:30, CAD, medium
2022.09.23 13:30, CAD, medium
2022.09.23 14:45, USD, high
2022.09.23 14:45, USD, medium
2022.09.26 10:00, EUR, low
2022.09.26 14:00, EUR, low
2022.09.27 7:00, EUR, low
2022.09.27 13:30, USD, medium
2022.09.27 13:30, USD, medium
2022.09.27 14:00, USD, low
2022.09.27 14:00, USD, low
2022.09.27 15:00, USD, high
2022.09.27 15:00, USD, medium
2022.09.27 15:00, USD, medium
2022.09.28 0:01, GBP, low
2022.09.28 0:50, JPY, low
2022.09.28 2:30, AUD, low
2022.09.28 6:00, JPY, low
2022.09.28 7:00, EUR, low
2022.09.28 7:00, EUR, low
2022.09.28 13:30, USD, low
2022.09.28 13:30, USD, low
